T:	0_1_*T_c	0_9_*T_c	2_*T_c	
t_eq:	2_*T_c	2_*T_c	2_*T_c	
Energy:	-2.0	-1.7131379507558067	-0.47892698452698457	
Stat error Energy:	0.0	0.5763880512232884	0.13740281787074846	
Correlation time - Energy:	14.225641515756445	29.965469941729893	1.8152190951361373	
Magnetization:	1.0	0.8958891786599823	-3.5920035920036083e-06	
Correlation time - Magn:	17.51482786956677	62.49741345410436	1.8826073505669898	
Stat error Magn:	0.0	0.472098908352981	0.15912073660035406	
C_v:	0.0	0.8170463543988488	0.12372254662280226	
X:	0.0	0.5413528000969058	0.7317297479400575	
# uncorrelated measures n:	11.418896119870746	3.2001324366307116	106.23564172304197	
