T:	0_1_*T_c	0_9_*T_c	2_*T_c	
t_eq:	2_*T_c	2_*T_c	2_*T_c	
Energy:	-1.9199999823895877	-1.713098693351109	-0.47890526812634066	
Stat error Energy:	4.735376226427447e-05	2.0090736865952485	0.06298976838959472	
Correlation time - Energy:	39.291832008976996	1489.7205256171328	1.4468503433578035	
Magnetization:	0.03999999839905387	0.8958479998715033	0.02909788948944744	
Correlation time - Magn:	1.4200328662087385	1943.7704600073675	5.4263842584759345	
Stat error Magn:	9.666732055639285e-06	1.322898451216493	0.07569041008749676	
C_v:	1.3679955810875314e-06	0.8117565845104143	0.1236850228979374	
X:	2.680959869616034e-07	0.5509262193494265	0.26625730275143006	
# uncorrelated measures n:	254.50582191523424	5.144640381026315	1842.8477460622407	
